
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2023-02-07;-0,064;-0,094;-0,031;;-0,097;-0,053;-0,037;-0,007;-0,017;-0,091;-0,072;0,005;-0,075;-0,074;-0,202;-0,003;-0,023;
2023-02-08;-0,064;-0,092;-0,028;;-0,095;-0,054;-0,037;-0,005;-0,015;-0,090;-0,073;0,004;-0,073;-0,071;-0,196;-0,006;-0,023;
2023-02-09;-0,064;-0,102;-0,039;;-0,105;-0,054;-0,036;-0,015;-0,027;-0,096;-0,080;0,000;-0,075;-0,074;;-0,007;-0,030;
2023-02-10;-0,065;-0,104;-0,045;;-0,107;-0,057;-0,037;-0,015;-0,031;-0,102;-0,079;-0,003;-0,082;-0,081;;-0,015;-0,041;
2023-02-13;-0,064;-0,101;-0,040;;-0,104;-0,057;-0,037;-0,014;-0,028;-0,095;-0,078;-0,003;-0,074;-0,073;-0,206;-0,013;-0,037;
2023-02-14;-0,064;-0,101;-0,039;;-0,104;-0,057;-0,038;-0,014;-0,028;-0,094;-0,078;-0,004;-0,072;-0,071;-0,209;-0,015;-0,037;
2023-02-15;-0,064;-0,099;-0,038;;-0,102;-0,058;-0,038;-0,015;-0,027;-0,094;-0,077;-0,004;-0,072;-0,071;-0,202;-0,016;-0,036;
2023-02-16;-0,064;-0,096;-0,038;;-0,100;-0,059;-0,038;-0,017;-0,025;-0,094;-0,078;-0,004;-0,073;-0,072;-0,204;-0,018;-0,032;
2023-02-17;-0,064;-0,098;-0,036;;-0,102;;-0,038;-0,014;-0,026;-0,091;;-0,004;-0,073;-0,071;-0,200;-0,017;-0,033;
2023-02-20;-0,064;;-0,040;;;;;;;-0,094;;-0,006;-0,076;-0,074;;-0,017;-0,034;
2023-02-21;;;;;;-0,063;-0,039;;;;-0,086;;;;-0,208;;;
2023-02-22;-0,065;-0,110;-0,055;;-0,113;;;-0,027;-0,039;-0,100;;-0,007;-0,084;-0,083;;-0,024;-0,041;
2023-02-23;;;;;;-0,061;-0,039;;;;-0,084;;;;-0,207;;;
2023-02-24;-0,065;-0,110;-0,056;;-0,114;-0,062;-0,040;-0,028;-0,038;-0,101;-0,086;-0,005;-0,087;-0,086;-0,209;-0,023;-0,042;
2023-02-27;-0,065;-0,107;-0,051;;-0,109;-0,061;-0,040;-0,028;-0,031;-0,095;-0,086;-0,003;-0,080;-0,079;-0,203;-0,025;-0,043;
2023-02-28;-0,065;-0,107;-0,049;;-0,111;-0,062;-0,040;-0,032;-0,034;-0,095;-0,086;-0,004;-0,082;-0,081;-0,200;-0,027;-0,045;
2023-03-01;-0,065;-0,105;-0,046;;-0,109;-0,062;-0,041;-0,033;-0,033;-0,092;-0,086;-0,003;-0,082;-0,081;-0,195;-0,027;-0,044;
2023-03-02;-0,065;-0,106;-0,050;;-0,110;;;-0,030;-0,032;-0,094;;-0,002;-0,085;-0,084;;-0,025;-0,044;
2023-03-03;;;;;;-0,061;-0,041;;;;-0,081;;;;-0,197;;;
2023-03-06;-0,065;-0,097;-0,046;;-0,101;-0,060;-0,042;-0,023;-0,024;-0,087;-0,082;0,001;-0,077;-0,076;-0,193;-0,023;-0,033;
2023-03-07;-0,065;-0,093;-0,043;;-0,098;-0,061;-0,041;-0,021;-0,022;-0,087;-0,081;0,002;-0,077;-0,076;-0,196;-0,024;-0,035;
2023-03-08;-0,066;-0,094;-0,047;;-0,099;-0,063;-0,041;-0,024;-0,022;-0,090;-0,081;0,002;-0,082;-0,081;-0,190;-0,018;-0,030;
2023-03-09;-0,066;-0,092;-0,041;;-0,096;-0,063;-0,041;-0,021;-0,021;-0,089;-0,082;-0,000;-0,081;-0,080;-0,193;-0,019;-0,030;
2023-03-10;-0,065;-0,103;-0,050;;-0,108;-0,064;-0,039;-0,029;-0,038;-0,100;-0,087;0,003;-0,093;-0,092;-0,196;-0,010;-0,032;
2023-03-13;-0,063;-0,110;-0,062;;-0,116;-0,065;-0,037;-0,028;-0,050;-0,110;-0,089;0,009;-0,100;-0,099;-0,207;-0,001;-0,038;
2023-03-14;-0,064;-0,112;-0,056;;-0,117;-0,064;-0,039;-0,031;-0,045;-0,105;-0,089;0,005;-0,091;-0,090;-0,207;-0,008;-0,039;
2023-03-15;-0,063;-0,117;-0,067;;-0,122;-0,067;-0,036;-0,034;-0,053;-0,119;-0,090;0,009;-0,103;-0,102;-0,225;-0,011;-0,044;
2023-03-16;-0,064;-0,118;-0,062;;-0,123;-0,067;-0,039;-0,032;-0,051;-0,120;-0,089;0,007;-0,102;-0,101;-0,223;-0,010;-0,040;
2023-03-17;-0,064;-0,119;-0,065;;-0,124;-0,067;-0,037;-0,032;-0,054;-0,125;-0,091;0,007;-0,109;-0,107;-0,230;-0,011;-0,037;
2023-03-20;-0,066;-0,119;-0,065;;-0,124;-0,071;-0,039;-0,034;-0,054;-0,119;-0,092;0,008;-0,101;-0,099;-0,228;-0,006;-0,039;
2023-03-21;-0,065;-0,118;-0,060;;-0,122;-0,066;-0,039;-0,035;-0,052;-0,112;-0,089;0,006;-0,096;-0,095;-0,224;-0,014;-0,039;
